Project Name,Package Name,Architecture Smell,Cause of the Smell
javapoet,com.squareup.javapoet,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 89
javapoet,com.squareup.javapoet,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationSpec; ClassName; CodeWriter; FieldSpec; JavaFile; LineWrapper; MethodSpec; ParameterizedTypeName; ParameterSpec; TypeName; TypeSpec; TypeSpec.Builder; TypeVariableName; Util; WildcardTypeName; AbstractTypesTest; AnnotatedTypeNameTest; AnnotationSpecTest; ClassNameTest; CodeBlockTest; FieldSpecTest; FileReadingTest; FileWritingTest; JavaFileTest; LineWrapperTest; MethodSpecTest; ParameterSpecTest; TestFiler; TypeNameTest; TypesEclipseTest; TypeSpecTest; TypesTest; UtilTest; AnnotationSpec.Builder; ArrayTypeName; CodeBlock; FieldSpec.Builder; JavaFile.Builder; MethodSpec.Builder; ParameterSpec.Builder; CodeBlockTest.CodeBlockJoiner; CodeWriterTest]; [AnnotationSpec.Visitor]; [CodeBlock.Builder]; [CodeBlock.CodeBlockJoiner]; [CodeWriter.Multiset]; [LineWrapper.FlushType]; [LineWrapper.RecordingAppendable]; [NameAllocator; NameAllocatorTest]; [TypeSpec.Kind]; [AbstractTypesTest.Parameterized]; [AbstractTypesTest.Recursive]; [AnnotatedTypeNameTest.MockGenericArrayType]; [AnnotationSpecTest.Breakfast]; [AnnotationSpecTest.IsAnnotated]; [ClassNameTest.OuterClass]; [ClassNameTest.InnerClass]; [ClassNameTest.$Outer]; [ClassNameTest.$Inner]; [JavaFileTest.Foo]; [JavaFileTest.NestedTypeA]; [JavaFileTest.NestedTypeB]; [JavaFileTest.FooInterface]; [JavaFileTest.NestedTypeA]; [JavaFileTest.NestedTypeB]; [JavaFileTest.Parent]; [JavaFileTest.Pattern]; [JavaFileTest.ParentInterface]; [JavaFileTest.Optional]; [MethodSpecTest.Everything]; [MethodSpecTest.Generics]; [MethodSpecTest.HasAnnotation]; [MethodSpecTest.Throws]; [MethodSpecTest.ExtendsOthers]; [MethodSpecTest.ExtendsIterableWithDefaultMethods]; [MethodSpecTest.FinalClass]; [MethodSpecTest.InvalidOverrideMethods]; [MethodSpecTest.AbstractClassWithPrivateAnnotation]; [ParameterSpecTest.VariableElementFieldClass]; [ParameterSpecTest.VariableElementParameterClass]; [TestFiler.Source]; [TestUtil]; [TypeNameTest.TestGeneric]; [TypeNameTest.Inner]; [TypeNameTest.InnerGeneric]; [TypeNameTest.NestedNonGeneric]; [TypeNameTest.MockWildcardType]; [TypesEclipseTest.CompilationRule]. LCC (Lack of Component Cohesion) = 0.53
