Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
javapoet,com.squareup.javapoet,LineWrapper.RecordingAppendable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,MethodSpec,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CONSTRUCTOR; name; javadoc; annotations; modifiers; typeVariables; returnType; parameters; varargs; exceptions; code; defaultValue; name; javadoc; returnType; exceptions; code; varargs; defaultValue; typeVariables; annotations; modifiers; parameters
javapoet,com.squareup.javapoet,MethodSpec.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,MethodSpec.Builder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: name; javadoc; returnType; exceptions; code; varargs; defaultValue; typeVariables; annotations; modifiers; parameters
javapoet,com.squareup.javapoet,MethodSpec.Builder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: name; javadoc; returnType; exceptions; code; varargs; defaultValue; typeVariables; annotations; modifiers; parameters
javapoet,com.squareup.javapoet,ParameterizedTypeName,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: enclosingType; rawType; typeArguments
javapoet,com.squareup.javapoet,ParameterSpec,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: name; annotations; modifiers; type; javadoc; type; name; javadoc; annotations; modifiers
javapoet,com.squareup.javapoet,ParameterSpec.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: type; name; javadoc; annotations; modifiers
javapoet,com.squareup.javapoet,ParameterSpec.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,ParameterSpec.Builder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: type; name; javadoc; annotations; modifiers
javapoet,com.squareup.javapoet,ParameterSpec.Builder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: type; name; javadoc; annotations; modifiers
javapoet,com.squareup.javapoet,TypeName,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: VOID; BOOLEAN; BYTE; SHORT; INT; LONG; CHAR; FLOAT; DOUBLE; OBJECT; BOXED_VOID; BOXED_BOOLEAN; BOXED_BYTE; BOXED_SHORT; BOXED_INT; BOXED_LONG; BOXED_CHAR; BOXED_FLOAT; BOXED_DOUBLE; keyword; annotations; cachedString
javapoet,com.squareup.javapoet,TypeName,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: ArrayTypeName
